Austin,Christopher Tyler,294.0
Autry,Albert,302.0
Autry,William Askew,239.0
Autry,Martin Gordon,252.0
Aven,David Bruce,249.0
Averill,Howard Earl,241.0
Averill,Earl Douglas,255.0
Avery,Steven Thomas,256.0
Avery,Xavier Tyrone,262.0
Avila,Alexander Thomas,281.0
Avila,Roberto Francisco,245.0
Avilan,Luis Armando,299.0
Aviles,Michael Anthony,275.0
Aviles,Ramon Antonio,224.0
Avrea,James Epherium,248.0
Axelrod,Dylan Davis Haines,265.0
Axford,John Berton,297.0
Ayala,Benigno,258.0
Ayala,Robert Joseph,264.0
Ayala,Luis Ignacio,279.0
Aybar,Erick Johan,265.0
Aybar,Manuel Antonio,238.0
Aybar,Willy Del Jesus,276.0
Aydelott,Jacob Stuart,252.0
Ayers,William Oscar,260.0
Ayers,Yancey Wyatt,258.0
Aylward,Richard John,262.0
Ayrault,Robert Cunningham,306.0
Ayrault,Joseph Allen,265.0
Azcue,Jose Joaquin,262.0
Azocar,Oscar Gregorio,243.0
Babb,Charles Amos,235.0
Babcock,Robert Ernest,287.0
Babe,Loren Rolland,250.0
Babich,John Charles,258.0
Babington,Charles Percy,242.0
Babitt,Mack Neal,242.0
Backe,Brandon Allen,254.0
Backman,Lester John,267.0
Backman,Walter Wayne,229.0
Bacon,Edgar Suter,
Bacsik,Michael James,254.0
Bacsik,Michael Joseph,299.0
Baczewski,Frederic John,259.0
Badenhop,Burke Heinrich,282.0
Bader,Arthur Herman,240.0
Bader,Lore Verne,247.0
Badgro,Morris Hiram,262.0
Baecht,Edward Joseph,270.0
Baek,Cha-Seung,266.0
Baerga,Carlos Obed,236.0
Baez,Benito,232.0
Baez,Danys G.,300.0
Baez,Ednel Javier,262.0
Baez,Jose Antonio,228.0
Baez,Kevin Richard,232.0
Baez,Pedro Alberys,307.0
Bagby,James Charles Jacob,242.0
Bagby,James Charles Jacob,244.0
Bagwell,William Mallory,248.0
Bagwell,Jeffrey Robert,267.0
Bahnsen,Stanley Raymond,259.0
Bahr,Edson Garfield,245.0
Bahret,Franklin F.,257.0
Baichley,Grover Cleveland,233.0
Bailey,Andrew Scott,315.0
Bailey,William F.,236.0
Bailey,Harry Lewis,240.0
Bailey,Robert Sherwood,253.0
Bailey,Philip Cory,267.0
Bailey,Lonas Edgar,279.0
Bailey,Frederick Middleton,221.0
Bailey,Arthur Eugene,228.0
Bailey,Harvey Francis,232.0
Bailey,Howard Lee,267.0
Bailey,David Dewitt,301.0
Bailey,Jeffrey Todd,274.0
Bailey,James Hopkins,284.0
Bailey,Linwood Clifton,257.0
Bailey,John Mark,272.0
Bailey,Charles Roger,253.0
Bailes,Scott Alan,244.0
Bailey,Steven John,267.0
Bailey,Abraham Lincoln,256.0
Bailor,Robert Michael,241.0
Baines,Harold Douglas,249.0
Bain,Herbert Loren,262.0
Baird,Albert Wells,229.0
Baird,Robert Allen,271.0
Baird,Howard Douglas,217.0
Bair,Charles Douglas,242.0
Baisley,Jeffrey Scot,300.0
Bajenaru,Jeffrey Michael,263.0
Bakley,Edward Enoch,238.0
Bakenhaster,David Lee,238.0
Baker,Albert Jones,241.0
Baker,William Presley,272.0
Baker,Charles,250.0
Baker,Charles Arthur,204.0
Baker,Charles Joseph,251.0
Baker,David Glenn,257.0
Baker,Delmer David,247.0
Baker,Douglas Lee,234.0
Baker,Johnnie B.,257.0
Baker,Earnest Gould,230.0
Baker,Floyd Wilton,229.0
Baker,John Franklin,244.0
Baker,Frank,250.0
Baker,Frank Watts,252.0
Baker,George F.,233.0
Baker,Eugene Walter,243.0
Baker,Howard Francis,246.0
Baker,Jack Edward,302.0
Baker,Jesse Ormond,259.0
Baker,Jesse,204.0
Baker,Jeffrey Glen,294.0
Baker,John David,288.0
Baker,Kirtley,229.0
Baker,Neal Vernon,248.0
Baker,Norman Leslie,
Baker,Philip,220.0
Baker,Scott,249.0
Baker,Timothy Scott,291.0
Baker,Steven Byrne,257.0
Baker,Thomas Calvin,253.0
Baker,Thomas Henry,267.0
Baker,Trace Lee,253.0
Bako,Gabor Paul,279.0
Balas,Mitchell Francis,267.0
Balaz,John Lawrence,255.0
Balboni,Stephen Charles,300.0
Balcena,Robert Rudolph,227.0
Baldelli,Rocco Dan,266.0
Baldschun,Jack Edward,248.0
Baldwin,Robert Harvey,247.0
Baldwin,David George,274.0
Baldwin,Frank DeWitt,266.0
Baldwin,Howard Edward,231.0
Baldwin,Henry Clay,251.0
Baldwin,James,285.0
Baldwin,Jeffrey Allen,253.0
Baldwin,Clarence Geoghan,213.0
Baldwin,Charles B.,231.0
Baldwin,Marcus Elmore,262.0
Baldwin,Orson Frederick,
Baldwin,Reginald Conrad,268.0
Baldwin,Rickey Alan,255.0
Bale,John Robert,286.0
Balenti,Michael Richard,246.0
Balentien,Wladimir Ramon,294.0
Balester,Collin Thomas,266.0
Bales,Wesley Owen,235.0
Balfour,Grant Robert,274.0
Ballard,Jeffrey Scott,270.0
Ball,Arthur,
Baller,Jay Scott,293.0
Ballenger,Pelham Ashby,231.0
Ballinger,Mark Alan,283.0
Ball,Jeffery D.,255.0
Ball,James Chandler,246.0
Ball,Cornelius,212.0
Ballou,Noble Winfred,240.0
Balsamo,Anthony Fred,259.0
Bamberger,George Irvin,247.0
Bamberger,Harold Earl,245.0
Bancker,John V.,
Bancroft,David James,229.0
Bancroft,Frank Carter,
Bando,Christopher Michael,267.0
Bando,Salvatore Leonard,267.0
Bandy,Jett Adam,311.0
Bane,Edward Norman,229.0
Baney,Richard Lee,257.0
Banister,Jeffery Todd,274.0
Bankhead,Daniel Robert,257.0
Bankhead,Michael Scott,245.0
Yerrick,William John,221.0
Banks,Brian Glen,275.0
Banks,Ernest,253.0
Bankston,Wilborn Everett,251.0
Banks,George Edward,256.0
Banks,Joshua Charles,290.0
Bankston,Wesley Wade,291.0
Banks,Willie Anthony,263.0
Bannister,Alan,241.0
Bannister,Brian Patrick,276.0
Bannister,Floyd Franklin,263.0
Banning,James M.,216.0
Bannon,James Henry,225.0
Bannon,Thomas Edward,243.0
Banta,Jackie Kay,249.0
Bantz,Brandon,278.0
Banuelos,Manuel,285.0
Baptist,Travis Steven,267.0
Barajas,Rodrigo Richard,324.0
Barbato,John Edward,308.0
Barbary,Donald Odell,265.0
Barbare,Walter Lawrence,234.0
Barberie,Bret Edward,256.0
Barber,Brian Scott,248.0
Barber,Charles D.,218.0
Barbee,David Monroe,249.0
Barberich,Frank Frederick,245.0
Barbeau,William Joseph,205.0
Barber,Stephen David,267.0
Barber,Steven Lee,263.0
Barber,Tyrus Turner,241.0
Barbieri,James Patrick,222.0
Barcelo,Lorenzo Antonio,306.0
Barclay,Curtis Cordell,285.0
Barclay,George Oliver,232.0
Bard,Daniel Paul,291.0
Barden,Brian David,261.0
Bard,Joshua David,300.0
Bare,Raymond Douglas,259.0
Barfield,Jesse Lee,273.0
Barfield,John David,268.0
Barfield,Joshua LaRoy,262.0
Barfoot,Clyde Raymond,242.0
Bargar,Greg Robert,259.0
Barger,Eros Bolivar,232.0
Bark,Brian Stuart,239.0
Barker,Alfred L.,234.0
Barkett,Andrew Jon,278.0
Barker,Glen F.,250.0
Barker,Kevin Stewart,269.0
Barker,Leonard Harold,302.0
Barker,Raymond Herrell,264.0
Barker,Richard Frank,284.0
Barker,Sean Reed,295.0
Barkley,Brian Edward,254.0
Barkley,Jeffrey Carver,260.0
Barkley,John Duncan,231.0
Barkley,Samuel W.,251.0
Barlick,Albert Joseph,256.0
Barlow,Michael Roswell,288.0
Barlow,Thomas H.,
Barmes,Bruce Raymond,233.0
Barmes,Clint Harold,273.0
Barna,Herbert Paul,284.0
Barnabe,Charles Edward,235.0
Barnes,Austin Scott,265.0
Barnes,William Horace,245.0
Barnes,Robert Avery,221.0
Barnes,Brian Keith,239.0
Barnes,Brandon Michael,284.0
Barney,Darwin James Kunane,250.0
Barnes,Daniel J.,268.0
Barney,Edmund J.,248.0
Barnes,Everett Duane,244.0
Barnes,Frank Samuel,269.0
Barnes,Frank,242.0
Barnes,John Francis,245.0
Barnes,Jacob Andrew,294.0
Barnes,Jesse Lawrence,242.0
Barnes,John Delbert,279.0
Barnes,Junie Shoaf,241.0
Barnes,Larry Richard,268.0
Barnes,Luther Owens,230.0
Barnes,Matthew D.,286.0
Barnes,Emile Deering,228.0
Barney,Rex Edward,260.0
Barnes,Richard Monroe,262.0
Barnes,Charles Roscoe,213.0
Barnes,Samuel Thomas,218.0
Barnes,Scott Michael,276.0
Barnes,William Henry,246.0
Barnette,Anthony Lee,263.0
Barnes,Virgil Jennings,237.0
Barnhart,Clyde Lee,225.0
Barnhart,Edgar Vernon,230.0
Barnhart,Leslie Earl,252.0
Barnhart,Tucker Jackson,261.0
Barnhart,Victor Dee,260.0
Barnie,William Harrison,224.0
Barnicle,George Bernard,249.0
Barnowski,Edward Anthony,269.0
Barnwell,Christopher Edward,250.0
Barojas,Salome,229.0
Barone,Daniel Edward,259.0
Barone,Richard Anthony,234.0
Baron,Steven Phillip,277.0
Barragan,Facundo Anthony,251.0
Barranca,German,232.0
Barraclough,Kyle David,300.0
Barr,Robert McClelland,265.0
Barr,Robert Alexander,247.0
Barrett,John,
Barrett,Aaron James,305.0
Barrett,William,
Barrett,William Joseph,247.0
Barrett,Robert Schley,246.0
Barrett,Tracy Souter,244.0
Barrett,Francis Joseph,247.0
Barrett,Jake Dalton,314.0
Barrett,James Erigena,237.0
Barrett,John Joseph,240.0
Barrett,Martin F.,239.0
Barrett,Martin Glenn,245.0
Barrett,Michael Patrick,260.0
Barrett,Charles Henry,254.0
Barrett,Timothy Wayne,258.0
Barrett,Thomas Loren,226.0
Barrios,Francisco Javier,226.0
Barrios,Jose Manuel,271.0
Barrios,Manuel Antonio,242.0
Barrios,Yhonathan,275.0
Barr,James Leland,280.0
Barrows,Roland,226.0
Barrow,Edward Grant,
Barrows,Franklin Lee,
Barron,Frank John,248.0
Barron,David Irenus,256.0
Barron,Anthony Dirk,257.0
Barr,Hyder Edward,247.0
Barr,Steven Charles,276.0
Barry,Edward,260.0
Barry,Hardin,257.0
Barry,John Joseph,227.0
Barry,Jeffrey Finas,263.0
Barry,Kevin Thomas,309.0
Barry,Richard Donovan,281.0
Barry,John C.,
Barry,Thomas Arthur,224.0
Bartell,Richard William,229.0
Bartee,Kimera Anotchi,247.0
Barthelson,Robert Edward,257.0
Barthmaier,James Richard,282.0
Barthold,John Francis,251.0
Bartholomew,Lester Justin,266.0
Bartirome,Anthony Joseph,225.0
Bartley,William Jackson,261.0
Bartley,Boyd Owen,233.0
